epoch: 0	train ppl: 451490.0002629749	val ppl: 6638086508.300944	best val: 6638086508.300944	time (s) spent in epoch: 58.2399480342865
epoch: 1	train ppl: 3460379.4889006023	val ppl: 1727244416.631884	best val: 1727244416.631884	time (s) spent in epoch: 58.338322162628174
epoch: 2	train ppl: 49035.55020884748	val ppl: 11733.557804407877	best val: 11733.557804407877	time (s) spent in epoch: 58.345609188079834
epoch: 3	train ppl: 30640.190662761335	val ppl: 7680.186369231146	best val: 7680.186369231146	time (s) spent in epoch: 58.49750375747681
epoch: 4	train ppl: 25753.02564939986	val ppl: 5327.8802807668	best val: 5327.8802807668	time (s) spent in epoch: 58.52894592285156
epoch: 5	train ppl: 19411.737475308622	val ppl: 10896.56453672824	best val: 5327.8802807668	time (s) spent in epoch: 58.33523654937744
epoch: 6	train ppl: 15626.91604414115	val ppl: 10432.936977914032	best val: 5327.8802807668	time (s) spent in epoch: 58.376752614974976
epoch: 7	train ppl: 15910.65717625691	val ppl: 10742.848269413707	best val: 5327.8802807668	time (s) spent in epoch: 58.37271022796631
epoch: 8	train ppl: 13209.275738391985	val ppl: 3993.6320676922487	best val: 3993.6320676922487	time (s) spent in epoch: 58.481218099594116
epoch: 9	train ppl: 12230.327159635855	val ppl: 11729.527301932894	best val: 3993.6320676922487	time (s) spent in epoch: 58.41697597503662
epoch: 10	train ppl: 10861.419187887643	val ppl: 8244.186722772043	best val: 3993.6320676922487	time (s) spent in epoch: 58.486982345581055
epoch: 11	train ppl: 11029.66240654157	val ppl: 5871.257995816996	best val: 3993.6320676922487	time (s) spent in epoch: 58.34117341041565
epoch: 12	train ppl: 11337.930236608261	val ppl: 5026.049020965057	best val: 3993.6320676922487	time (s) spent in epoch: 58.485929012298584
epoch: 13	train ppl: 9593.623999893189	val ppl: 5307.147436242127	best val: 3993.6320676922487	time (s) spent in epoch: 58.44690132141113
epoch: 14	train ppl: 9630.321276696382	val ppl: 5234.915597397296	best val: 3993.6320676922487	time (s) spent in epoch: 58.49353289604187
epoch: 15	train ppl: 9284.27098008688	val ppl: 7574.297745448421	best val: 3993.6320676922487	time (s) spent in epoch: 58.55263042449951
epoch: 16	train ppl: 10859.738978470321	val ppl: 6807.021953697372	best val: 3993.6320676922487	time (s) spent in epoch: 58.45492506027222
epoch: 17	train ppl: 9996.915259381916	val ppl: 10998.851144400533	best val: 3993.6320676922487	time (s) spent in epoch: 58.36242604255676
epoch: 18	train ppl: 9473.32697209203	val ppl: 11457.783045364762	best val: 3993.6320676922487	time (s) spent in epoch: 58.42902660369873
epoch: 19	train ppl: 9457.55371530674	val ppl: 20443.01913162211	best val: 3993.6320676922487	time (s) spent in epoch: 58.43362212181091
